School Name,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,SPED
Gaithersburg HS,2306,53.5,46.5,≤5.0,8.1,25.6,45.6,≤5.0,16.8,≤5.0,20.3,42.8,14.1
Walter Johnson HS,2289,51.7,48.3,≤5.0,11.1,9.7,17.2,≤5.0,55.9,5.8,8.1,7.1,11
John F. Kennedy HS,1549,51.8,48.2,≤5.0,7.4,32.2,53.2,≤5.0,5.4,≤5.0,21.4,48.9,14.4
Col. Zadok Magruder HS,1513,52.9,47.1,≤5.0,14.3,18.7,35.4,≤5.0,26.7,≤5.0,9.8,33.8,10.3
Richard Montgomery HS,2244,49.5,50.5,≤5.0,25.5,15.2,23.4,≤5.0,30.5,≤5.0,11.1,18.4,6.8
Northwest HS,2255,49.6,50.4,≤5.0,18,28.1,19.8,≤5.0,28.8,5.1,≤5.0,26,10.4
Northwood HS,1579,50,50,≤5.0,6.3,24.6,52.8,≤5.0,13.8,≤5.0,22.5,50.4,12.5
Paint Branch HS,1996,52,48,≤5.0,14.1,55.6,17.2,≤5.0,9.3,≤5.0,≤5.0,36.4,10.2
Poolesville HS,1205,49.5,50.5,≤5.0,28.5,5.1,8,≤5.0,51.5,6.4,≤5.0,7.1,≤5.0
Quince Orchard HS,1924,49.9,50.1,≤5.0,13.1,14.7,23.8,≤5.0,44,≤5.0,8.7,22.4,7.8
Rockville HS,1342,54.7,45.3,≤5.0,11.3,13.3,38.7,≤5.0,32.7,≤5.0,11.9,33.3,16.3
Seneca Valley HS,1198,50.4,49.6,≤5.0,11.4,36,29.1,≤5.0,19.6,≤5.0,11.9,38.4,12.9
Sherwood HS,1890,49.8,50.2,≤5.0,11.7,16.9,15.2,≤5.0,52.2,≤5.0,10.2,17.2,10.1
Springbrook HS,1790,57.6,42.4,≤5.0,11.3,41.8,35.1,≤5.0,8,≤5.0,14.9,44,9.7
Watkins Mill HS,1524,55.3,44.7,≤5.0,8.7,31.6,43.1,≤5.0,11.7,≤5.0,20,51.4,12.9
Wheaton HS,1554,59.2,40.8,≤5.0,12.1,26.4,50.7,≤5.0,8.4,≤5.0,18.9,47.6,11.1
Walt Whitman HS,1977,49.5,50.5,≤5.0,13.2,≤5.0,9.3,≤5.0,69,≤5.0,8.8,≤5.0,9.5
Thomas S. Wootton HS,2206,50.3,49.7,≤5.0,35.5,6.6,7.6,≤5.0,46.2,≤5.0,≤5.0,5.5,6.3
